Address_Index,Input_Z_Sample,Output_Sigmoid,LUT_Value_Q1_7_8
367,-1.41251222,0.19583812,50
368,-1.40273705,0.19738214,51
369,-1.39296188,0.19893533,51
370,-1.38318671,0.20049769,51
371,-1.37341153,0.20206922,52
372,-1.36363636,0.20364993,52
373,-1.35386119,0.20523983,53
374,-1.34408602,0.20683892,53
375,-1.33431085,0.20844719,53
376,-1.32453568,0.21006466,54
377,-1.31476051,0.21169133,54
378,-1.30498534,0.21332719,55
379,-1.29521017,0.21497224,55
380,-1.28543500,0.21662649,55
381,-1.27565982,0.21828992,56
382,-1.26588465,0.21996255,56
383,-1.25610948,0.22164435,57
384,-1.24633431,0.22333533,57
385,-1.23655914,0.22503549,58
386,-1.22678397,0.22674480,58
387,-1.21700880,0.22846327,58
388,-1.20723363,0.23019089,59
389,-1.19745846,0.23192765,59
390,-1.18768328,0.23367353,60
391,-1.17790811,0.23542853,60
392,-1.16813294,0.23719263,61
393,-1.15835777,0.23896581,61
394,-1.14858260,0.24074807,62
395,-1.13880743,0.24253939,62
396,-1.12903226,0.24433974,63
397,-1.11925709,0.24614911,63
398,-1.10948192,0.24796749,63
399,-1.09970674,0.24979485,64
400,-1.08993157,0.25163116,64
401,-1.08015640,0.25347642,65
402,-1.07038123,0.25533059,65
403,-1.06060606,0.25719365,66
404,-1.05083089,0.25906558,66
405,-1.04105572,0.26094634,67
406,-1.03128055,0.26283592,67
407,-1.02150538,0.26473428,68
408,-1.01173021,0.26664138,68
409,-1.00195503,0.26855721,69
410,-0.99217986,0.27048173,69
411,-0.98240469,0.27241490,70
412,-0.97262952,0.27435669,70
413,-0.96285435,0.27630707,71
414,-0.95307918,0.27826600,71
415,-0.94330401,0.28023343,72
416,-0.93352884,0.28220934,72
417,-0.92375367,0.28419368,73
418,-0.91397849,0.28618640,73
419,-0.90420332,0.28818748,74
420,-0.89442815,0.29019686,74
421,-0.88465298,0.29221450,75
422,-0.87487781,0.29424035,75
423,-0.86510264,0.29627436,76
424,-0.85532747,0.29831649,76
425,-0.84555230,0.30036670,77
426,-0.83577713,0.30242491,77
427,-0.82600196,0.30449110,78
428,-0.81622678,0.30656520,78
429,-0.80645161,0.30864715,79
430,-0.79667644,0.31073691,80
431,-0.78690127,0.31283441,80
432,-0.77712610,0.31493961,81
433,-0.76735093,0.31705243,81
434,-0.75757576,0.31917283,82
435,-0.74780059,0.32130073,82
436,-0.73802542,0.32343608,83
437,-0.72825024,0.32557882,83
438,-0.71847507,0.32772887,84
439,-0.70869990,0.32988618,84
440,-0.69892473,0.33205067,85
441,-0.68914956,0.33422228,86
442,-0.67937439,0.33640095,86
443,-0.66959922,0.33858659,87
444,-0.65982405,0.34077914,87
445,-0.65004888,0.34297852,88
446,-0.64027370,0.34518467,88
447,-0.63049853,0.34739751,89
448,-0.62072336,0.34961695,90
449,-0.61094819,0.35184293,90
450,-0.60117302,0.35407537,91
451,-0.59139785,0.35631419,91
452,-0.58162268,0.35855930,92
453,-0.57184751,0.36081063,92
454,-0.56207234,0.36306810,93
455,-0.55229717,0.36533161,94
456,-0.54252199,0.36760110,94
457,-0.53274682,0.36987646,95
458,-0.52297165,0.37215763,95
459,-0.51319648,0.37444450,96
460,-0.50342131,0.37673699,96
461,-0.49364614,0.37903501,97
462,-0.48387097,0.38133847,98
463,-0.47409580,0.38364728,98
464,-0.46432063,0.38596135,99
465,-0.45454545,0.38828059,99
466,-0.44477028,0.39060490,100
467,-0.43499511,0.39293418,101
468,-0.42521994,0.39526834,101
469,-0.41544477,0.39760729,102
470,-0.40566960,0.39995092,102
471,-0.39589443,0.40229915,103
472,-0.38611926,0.40465186,104
473,-0.37634409,0.40700896,104
474,-0.36656891,0.40937035,105
475,-0.35679374,0.41173593,105
476,-0.34701857,0.41410560,106
477,-0.33724340,0.41647924,107
478,-0.32746823,0.41885677,107
479,-0.31769306,0.42123807,108
480,-0.30791789,0.42362304,108
481,-0.29814272,0.42601157,109
482,-0.28836755,0.42840357,110
483,-0.27859238,0.43079891,110
484,-0.26881720,0.43319749,111
485,-0.25904203,0.43559921,112
486,-0.24926686,0.43800396,112
487,-0.23949169,0.44041162,113
488,-0.22971652,0.44282209,113
489,-0.21994135,0.44523525,114
