Address_Index,Input_Z_Sample,Output_Tanh,LUT_Value_Q1_7_8
699,1.83284457,0.95010361,243
700,1.84261975,0.95104598,243
701,1.85239492,0.95197100,244
702,1.86217009,0.95287895,244
703,1.87194526,0.95377015,244
704,1.88172043,0.95464489,244
705,1.89149560,0.95550345,245
706,1.90127077,0.95634612,245
707,1.91104594,0.95717318,245
708,1.92082111,0.95798491,245
709,1.93059629,0.95878158,245
710,1.94037146,0.95956345,246
711,1.95014663,0.96033079,246
712,1.95992180,0.96108386,246
713,1.96969697,0.96182292,246
714,1.97947214,0.96254820,246
715,1.98924731,0.96325997,247
716,1.99902248,0.96395845,247
717,2.00879765,0.96464390,247
718,2.01857283,0.96531654,247
719,2.02834800,0.96597660,247
720,2.03812317,0.96662432,247
721,2.04789834,0.96725991,248
722,2.05767351,0.96788360,248
723,2.06744868,0.96849559,248
724,2.07722385,0.96909611,248
725,2.08699902,0.96968535,248
726,2.09677419,0.97026353,248
727,2.10654936,0.97083085,249
728,2.11632454,0.97138750,249
729,2.12609971,0.97193367,249
730,2.13587488,0.97246957,249
731,2.14565005,0.97299538,249
732,2.15542522,0.97351128,249
733,2.16520039,0.97401745,249
734,2.17497556,0.97451407,249
735,2.18475073,0.97500132,250
736,2.19452590,0.97547938,250
737,2.20430108,0.97594840,250
738,2.21407625,0.97640856,250
739,2.22385142,0.97686001,250
740,2.23362659,0.97730293,250
741,2.24340176,0.97773746,250
742,2.25317693,0.97816377,250
743,2.26295210,0.97858200,251
744,2.27272727,0.97899231,251
745,2.28250244,0.97939484,251
746,2.29227761,0.97978973,251
747,2.30205279,0.98017714,251
748,2.31182796,0.98055719,251
749,2.32160313,0.98093002,251
750,2.33137830,0.98129577,251
751,2.34115347,0.98165457,251
752,2.35092864,0.98200655,251
753,2.36070381,0.98235184,251
754,2.37047898,0.98269056,252
755,2.38025415,0.98302283,252
756,2.39002933,0.98334878,252
757,2.39980450,0.98366853,252
758,2.40957967,0.98398218,252
759,2.41935484,0.98428985,252
760,2.42913001,0.98459167,252
761,2.43890518,0.98488773,252
762,2.44868035,0.98517814,252
763,2.45845552,0.98546301,252
